Station,Pollutant,Method,Best Model,Best Config,Testing R2
Manchester_Piccadilly,NOx,NORMET AutoML,xgboost,"{'n_estimators': 230, 'max_leaves': 1859, 'min_child_weight': 0.00919370246966214, 'learning_rate': 0.08738277961694878, 'subsample': 0.8965632621981107, 'colsample_bylevel': 0.5800662715435184, 'colsample_bytree': 0.9453274074035851, 'reg_alpha': 0.04496844133742289, 'reg_lambda': 35.58327879129509}",0.8293674610751317
Manchester_Piccadilly,PM2.5,NORMET AutoML,xgboost,"{'n_estimators': 230, 'max_leaves': 1859, 'min_child_weight': 0.00919370246966214, 'learning_rate': 0.08738277961694878, 'subsample': 0.8965632621981107, 'colsample_bylevel': 0.5800662715435184, 'colsample_bytree': 0.9453274074035851, 'reg_alpha': 0.04496844133742289, 'reg_lambda': 35.58327879129509}",0.8142299807475751
Manchester_Piccadilly,O3,NORMET AutoML,xgboost,"{'n_estimators': 230, 'max_leaves': 1859, 'min_child_weight': 0.00919370246966214, 'learning_rate': 0.08738277961694878, 'subsample': 0.8965632621981107, 'colsample_bylevel': 0.5800662715435184, 'colsample_bytree': 0.9453274074035851, 'reg_alpha': 0.04496844133742289, 'reg_lambda': 35.58327879129509}",0.8986383426478687
Manchester_Sharston,NOx,NORMET AutoML,xgboost,"{'n_estimators': 280, 'max_leaves': 543, 'min_child_weight': 0.0013939247455765512, 'learning_rate': 0.12471198291053645, 'subsample': 1.0, 'colsample_bylevel': 0.4616698214106152, 'colsample_bytree': 0.8866722108597624, 'reg_alpha': 0.01461218135293743, 'reg_lambda': 34.953965899932705}",0.8248689594458256
Manchester_Sharston,O3,NORMET AutoML,xgboost,"{'n_estimators': 232, 'max_leaves': 2182, 'min_child_weight': 0.0302105776810601, 'learning_rate': 0.12940275483183844, 'subsample': 0.7578213015985156, 'colsample_bylevel': 0.5677712356205583, 'colsample_bytree': 0.9830258546791366, 'reg_alpha': 0.9611485879617946, 'reg_lambda': 18.900579535399284}",0.886691331120643
Salford_Eccles,NOx,NORMET AutoML,xgboost,"{'n_estimators': 252, 'max_leaves': 557, 'min_child_weight': 0.037857674365840865, 'learning_rate': 0.1669179286431122, 'subsample': 0.8789418591919999, 'colsample_bylevel': 0.665623326540261, 'colsample_bytree': 0.9534244013077435, 'reg_alpha': 0.23602666586970913, 'reg_lambda': 65.1282332452815}",0.8284576302638627
Salford_Eccles,PM2.5,NORMET AutoML,xgboost,"{'n_estimators': 151, 'max_leaves': 1480, 'min_child_weight': 1.629188516817667, 'learning_rate': 0.1297611603246274, 'subsample': 0.9891898816412091, 'colsample_bylevel': 0.9804745606618869, 'colsample_bytree': 0.9198888129325407, 'reg_alpha': 0.0176438653116443, 'reg_lambda': 19.56959136011807}",0.8444109431120306
Salford_Glazebury,NOx,NORMET AutoML,xgboost,"{'n_estimators': 182, 'max_leaves': 507, 'min_child_weight': 0.03469842703470486, 'learning_rate': 0.09050333780681966, 'subsample': 0.8788794424065157, 'colsample_bylevel': 0.7372635897769984, 'colsample_bytree': 0.9535003009271207, 'reg_alpha': 0.09353166342028453, 'reg_lambda': 3.6044671382295674}",0.8424518523092659
Salford_Glazebury,O3,NORMET AutoML,xgboost,"{'n_estimators': 217, 'max_leaves': 507, 'min_child_weight': 0.11413167645785971, 'learning_rate': 0.08782288949819442, 'subsample': 0.8788794424065157, 'colsample_bylevel': 0.7372635897769984, 'colsample_bytree': 0.9196967660303981, 'reg_alpha': 0.04210220405979678, 'reg_lambda': 8.530082225396875}",0.894511758878205
Bury_Whitefield,NOx,NORMET AutoML,xgboost,"{'n_estimators': 342, 'max_leaves': 1003, 'min_child_weight': 0.3207898446328077, 'learning_rate': 0.10287522877510608, 'subsample': 0.8033138573096044, 'colsample_bylevel': 0.9893291878144851, 'colsample_bytree': 0.8367791077008933, 'reg_alpha': 0.004122495096813103, 'reg_lambda': 27.523443793275145}",0.8443080516335
